City,Long,Lat,Longg,,,,,,,,,,,,Point x
Kingsbury 1.9 NW,-97.8505,29.67,97.8505,0.02,1.72,7.76,2.33,0.03,0,0,,,,,11.86
KINGSLAND                     ,-98.53,30.63,-98.53,0,0.12,0.54,0.09,0,,,,,,,0.75
KINGSLAND                     ,-98.34,30.64,-98.34,0,0.01,0.52,0.25,0,,,,,,,0.78
KINGSLAND                     ,-98.43,30.66,-98.43,0,0,0.43,0.11,0,,,,,,,0.54
KINGSLAND                     ,-98.58,30.59,-98.58,0,0.07,1.08,0.11,0,,,,,,,1.26
KINGSLAND                     ,-98.45,30.53,-98.45,0.04,0.1,1.05,0.36,0,,,,,,,1.55
KINGSLAND                7 NW ,-98.56,30.68,-98.56,0,0.03,0.22,0.14,0,,,,,,,0.39
KINGSLAND                7 S  ,-98.47,30.56,-98.47,0,0.02,0.89,0.28,0,,,,,,,1.19
Kingsland 0.5 S,-98.4521,30.66,98.4521,0,0.02,0.46,0.12,0,0,0,0,,,,0.6
Kingsland 1 ESE,-98.44,30.66,-98.44,Aug 25-28 12z,,,,,,,,,,,0.51
Kingsland 1 SSE,-98.43,30.64,-98.43,Aug 25-28 12z,,,,,,,,,,,0.67
Kingsland 1.2 SW,-98.4699,30.65,98.4699,0,0.05,0.43,0.11,0,0,0,0,,,,0.59
Kingsland 1.9 WSW,-98.485,30.66,98.485,0,0.04,0.41,0.1,0,0,0,0,,,,0.55
Kingsland 2.0 SW,-98.4741,30.64,98.4741,0.01,0.04,0.52,0.16,0,0,0,0,,,,0.73
Kingsland 2.1 ESE,-98.4194,30.66,98.4194,,,0.8,,,,,,,,,0.8
Kingsland 2.8 NE,-98.4164,30.69,98.4164,,0.02,0.42,0.11,,,,,,,,0.55
Kingsland 5 WSW,-98.51,30.64,-98.51,Aug 25-28 12z,,,,,,,,,,,0.75
KINGSVILLE                    ,-97.88,27.55,-97.88,0.77,1.5,0.33,0.01,,0,,,,,,2.61
KINGSVILLE                    ,-97.83,27.52,-97.83,0.06,1.62,0.24,0.01,0,0,,,,,,1.93
Kingsville 0.6 E,-97.8516,27.51,97.8516,0.12,1.72,,,,,,,,,,1.84
Kingsville 6.5 SSE,-97.8236,27.42,97.8236,0.06,1.48,0.27,0,0,0,0,0,,,,1.81
Kingwood 0.9 WNW,-95.1997,30.07,95.1997,0.02,1.82,9.97,10.63,5.87,1.66,,,,,,29.97
Kingwood 1.8 E,-95.1564,30.06,95.1564,0,1,8.8,10.5,6.85,1.73,0,0,,,,28.88
Kingwood 2 WNW,-95.22,30.06,-95.22,Aug 25-31 12z,,,,,,,,,,,37.64
Kingwood 3.9 S,-95.196,30,95.196,0,0.94,9.99,13.44,6.23,1.59,0,0,,,,32.19
Kirby 0.2 WNW,-98.3881,29.46,98.3881,,0.35,1.97,,,,,,,,,2.32
Kirbyville 1.5 SE,-93.8851,30.64,93.8851,0.84,0.02,1.41,4.45,2.77,6.94,3.14,0,,,,19.57
Knickerbocker 3.2 SW,-100.6723,31.25,100.6723,0,0,0.16,0,0,0,0,0,,,,0.16
KOMENSKY                      ,-97.04,29.54,-97.04,,,0,,,,,,,,,0
Kopperl 5.2 WNW,-97.5753,32.11,97.5753,0.36,0,0.13,1.4,0,0,0,0,,,,1.89
Kosse 4.0 E,-96.5623,31.32,96.5623,0,0,1.73,1.63,0.01,0,0,0,,,,3.37
KOUNTZE                  4 NE ,-94.26,30.4,-94.26,0.01,0.1,,,3.3,,,0,,,,3.41
Kountze 0.0 WSW,-94.3159,30.37,94.3159,,,,6.45,4.01,12.5,4.09,,,,,27.05
Kountze 1.1 S,-94.3161,30.36,94.3161,0.04,0.13,6.65,8.22,4.98,11,3.58,0,,,,34.6
Kyle 0.8 SW,-97.8802,29.99,97.8802,0,0.07,6.03,3.32,0.42,0,0,0,,,,9.84
Kyle 1.1 SSE,-97.8616,29.98,97.8616,,2.18,5.85,,,,,,,,,8.03
Kyle 2.1 NNW,-97.8877,30.02,97.8877,0.05,1.28,6.67,1.73,0.01,0,0,0,,,,9.74
Kyle 2.4 SE,-97.8475,29.96,97.8475,0,0.68,6.3,2.35,0.03,0,0,0,,,,9.36
Kyle 2.8 SSW,-97.8954,29.96,97.8954,0,1.33,5.41,2.2,0,0,0,0,,,,8.94
Kyle 7.8 ENE,-97.7451,30.02,97.7451,0.24,1.43,6.6,2.56,,,,,,,,10.83
La Feria,-97.82,26.15,-97.82,,0.04,,,,,,,,,,0.04
La Grange,-85,33,-85,Aug 25-28 12z,,,,,,,,,,,18.79
LA GRANGE                     ,-96.9,29.91,-96.9,0,4.36,10.65,10.84,0.3,0,,,,,,26.15
LA GRANGE                 5 NE ,-96.82,29.95,-96.82,0,5.34,9.96,10.32,0.19,0,,,,,,25.81
La Grange 0.3 ENE,-96.8735,29.91,96.8735,,4.12,10.78,9.66,,,,,,,,24.56
La Grange 1 E,-84.98,33,-84.98,Aug 25-28 12z,,,,,,,,,,,18.34
La Grange 1 W,-85.02,33,-85.02,Aug 25-28 12z,,,,,,,,,,,25.88
La Grange 10.2 NW,-97.0052,30.01,97.0052,0,4.2,14.69,10.2,0.1,0,0,0,,,,29.19
La Grange 3.5 ENE,-96.8248,29.93,96.8248,0,4.63,10.52,9.46,0.11,0,0,0,,,,24.72
La Grange 3.5 SW,-96.9247,29.88,96.9247,0.84,3.6,8.26,10.95,0.27,0,0,0,,,,23.92
La Grange 4 NE,-84.95,33.05,-84.95,Aug 25-28 12z,,,,,,,,,,,25.72
La Grange 4.5 SW,-96.9324,29.86,96.9324,0.05,3.82,8.2,9.5,0.23,0,0,0,,,,21.8
La Grange 4.7 E,-96.8007,29.9,96.8007,,4.92,9.45,10.91,0.09,,,,,,,25.37
La Grange 7.8 NNE,-96.8514,30.02,96.8514,0,4.75,12.42,8.41,0.2,0,0,0,,,,25.78
La Grange 8.1 SE,-96.7873,29.82,96.7873,0.04,4.33,7.29,6.15,0.19,0,0,0,,,,18
LA JOYA                       ,-98.47,26.25,-98.47,0.2,0,,0,0,,,,,,,0.2
La Joya 11.1 N,-98.4589,26.41,98.4589,0.04,,,,,,,,,,,0.04
La Marque TX,-95.0018,29.36,-95.0018,,,,,,,,,,,,27.91
La Marque 1.8 E,-94.9644,29.36,94.9644,3.1,3.86,17.57,1.89,9.44,2.58,0.01,0,,,,38.45
La Marque 3.9 SE,-94.9399,29.33,94.9399,1.6,3.93,9,1.01,7.69,1.34,0,0,,,,24.57
LA PORTE                 1 S  ,-95.02,29.65,-95.02,,,,,,1.68,,,,,,1.68
La Porte 2 SE,-95.03,29.65,-95.03,Aug 25-31 12z,,,,,,,,,,,41.4
La Vernia 3.0 E,-98.0648,29.35,98.0648,0,1.61,3.91,1.5,0,0,0,0,,,,7.02
La Vernia 3.6 SSW,-98.1449,29.31,98.1449,0,0.92,3.56,1.45,0,0,0,0,,,,5.93
La Vernia 6.3 S,-98.1067,29.26,98.1067,,1.01,2.24,0.92,,,,,,,,4.17
Labelle Rd. @ Taylors Bayou,-94.1594,29.87,-94.1594,0.63,3.5,6.46,9.84,17.68,1.65,0,,,,,39.76
Labelle Road Pevito Bayou,-94.1653,29.96,-94.1653,0.43,2.64,6.73,4.37,11.26,2.25,26.14,<=Last day looks incorrect,,,,53.82
Lackland Afb 3.5 SSE,-98.5987,29.34,98.5987,0,0.76,0.34,0,0,0,0,0,,,,1.1
Lackland Afb 7.8 WNW,-98.7417,29.43,98.7417,0,0.23,0.25,0.14,0,0,0,0,,,,0.62
Lago Vista 1 ENE,-97.97,30.47,-97.97,Aug 25-28 12z,,,,,,,,,,,4.5
Lago Vista 1.4 SSW,-98.0094,30.43,98.0094,,0.78,2.16,0.72,,,,,,,,3.66
Lago Vista 1.5 SW,-98.0139,30.44,98.0139,0.06,0.6,3.75,,0,0,0,0,,,,4.41
Lago Vista 2.1 SW,-98.0182,30.43,98.0182,0.14,0.99,2.1,0.74,0,0,0,0,,,,3.97
Lago Vista 4 NW,-98.04,30.51,-98.04,Aug 25-28 12z,,,,,,,,,,,3.47
Lago Vista 8 NNW,-98.03,30.57,-98.03,Aug 25-28 12z,,,,,,,,,,,3.27
Lago Vista 8 NNW,-98.03,30.57,-98.03,Aug 25-28 12z,,,,,,,,,,,2.99
Laguna Vista  ,-97.29,26.1,97.29,,1.17,,,,,,,,,,1.17
Laguna Vista 0.3 N,-97.2927,26.1,97.2927,0.32,0.44,0.44,,,,,,,,,1.2
Lake Anahuac CLCND,-94.6871,29.77,-94.6871,1.34,5.31,10.91,13.15,7.63,0.28,0,,,,,38.62
Lake Houston Dam Spillway,-95.1416,29.92,-95.1416,0.76,5.32,14.08,5.96,4.2,0,0,,,,,30.32
Lake Jackson 1.3 SE,-95.4337,29.03,95.4337,,,,,0.65,,,,,,,0.65
Lake Jackson 1.6 E,-95.4202,29.04,95.4202,0.66,3.91,1.67,1.71,5.78,0.21,0,0,,,,13.94
LAKE KEMP                     ,-99.14,33.75,-99.14,,,,0,,,,,,,,0
Lakehills 1.1 SE,-98.9302,29.59,98.9302,0,0.03,0.24,0,0,0,0,0,,,,0.27
Lakehills 1.2 NNE,-98.9364,29.62,98.9364,,0.06,0.37,0,0,0,0,0,,,,0.43
Lakehills 8.4 S,-98.9297,29.48,98.9297,,0.06,,,,,,,,,,0.06
Lakeway,-97.99,30.37,-97.99,Aug 25-28 12z,,,,,,,,,,,4.79
Lakeway 1 ENE,-97.97,30.38,-97.97,Aug 25-28 12z,,,,,,,,,,,2.66
Lakeway 1.6 SW,-97.9996,30.35,97.9996,0.2,0.48,2.64,0.75,,,,,,,,4.07
Lakeway 2.6 SW,-98.015,30.34,98.015,0.13,0.95,2.09,0.68,0,0,0,,,,,3.85
Lakeway 2.9 SSW,-98.001,30.33,98.001,0,1.3,2.66,0.75,0,0,0,0,,,,4.71
Lakeway 3.1 ENE,-97.9295,30.38,97.9295,0,1.11,4.53,0.89,0,0,0,0,,,,6.53
Lakeway 3.5 ENE,-97.9222,30.38,97.9222,1.31,2.65,,0.73,,0,,0,,,,4.69
LAMESA                   1 SSE,-101.95,32.72,-101.95,,,0,0,,,,,,,,0
LAMESA                   2 SE ,-101.94,32.71,-101.94,,,0,0,,,,,,,,0
LAMPASAS                 9 SW ,-98.33,30.98,-98.33,0,0.09,0.38,0.23,0.01,,,,,,,0.71
LAMPASAS                11 WNW,-98.37,31.08,-98.37,0,0,0.26,0.21,0,,,,,,,0.47
LAMPASAS                15 WNW,-98.43,31.09,-98.43,0,0,0.13,0.06,0,,,,,,,0.19
Lampasas 10 WSW,-98.31,31.01,-98.31,Aug 25-28 12z,,,,,,,0,,,,0.69
Lampasas 2.7 ENE,-98.1409,31.08,98.1409,0,0,0.45,0.29,0,0,0,0,,,,0.74
Landis Drive @ Ditch 202B,-94.1989,30.07,-94.1989,1.1,2.01,9.17,8.31,21.33,4.65,0,,,,,46.57
LANE CITY                     ,-96.07,29.19,-96.07,0.33,8.16,5.21,1.16,5.29,0,0,,,,,20.15
Langham Creek @ Longenbaugh Road,-95.6968,29.9,-95.6968,0.68,9.2,16.68,4.52,1.56,0,0,,,,,32.64
Langham Creek @ West Little York Road,-95.6471,29.87,-95.6471,0.64,9.72,15.72,4.76,1.6,0,0,,,,,32.44
LANGTRY                       ,-101.56,29.79,-101.56,,,0,,,,,,,,,0
Langtry 10.6 W,-101.7334,29.83,101.7334,0,0,0,0.05,0,0,0,0,,,,0.05
Langtry 25.3 NNW,-101.709,30.15,101.709,0,0,0,0,0,0,0,0,,,,0
LAREDO                        ,-99.5,27.5,-99.5,,0.08,,,,,,,,,,0.08
LAREDO                        ,-99.46,27.54,-99.46,0.03,0.05,0,0,,,,,,,,0.08
Laredo 1.8 N,-99.4835,27.56,-99.4835,,0,0,0,0,0,0,0,,,,0
Laredo 2.5 N,-99.4928,27.57,-99.4928,,0.37,,,,,,,,,,0.37
Laredo 8.4 NNW,-99.5419,27.65,-99.5419,,0.02,,,,,,,,,,0.02
Lateral @ Sens Road,-95.0468,29.68,-95.0468,1.28,5.04,19.72,10.68,5.32,0,0,,,,,42.04
Laurel And Eastex Freeway @ Ditch 116,-94.1375,30.08,-94.1375,0.32,2,8.9,5.36,16.77,5.51,0,,,,,38.86
LAVON                         ,-96.48,33.03,-96.48,,,,0,0.06,0,0,,,,,0.06
Lavon 0.7 NNW,-96.441,33.04,-96.441,0,0.26,0.03,0.01,0.04,0,0,0,,,,0.34
Lawhon Detention @ Ditch 400,-94.2605,30,-94.2605,0.4,2.83,8.07,9.02,19.17,3.82,0,,,,,43.31
Lawhon Road at Ditch 600,-94.2994,30,-94.2994,0.39,3.47,8.42,7.72,17.91,3.94,0,,,,,41.85
LBJ State Park,-98.63,30.24,-98.63,Aug 25-28 12z,,,,,,,,,,,1.45
LBJ State Park 1 N,-98.63,30.26,-98.63,Aug 25-28 12z,,,,,,,,,,,1.81
LBJ State Park 4 SSE,-98.62,30.19,-98.62,Aug 25-28 12z,,,,,,,,,,,2.28
LBJ State Park 6 N,-98.63,30.34,-98.63,Aug 25-28 12z,,,,,,,,,,,1.49
LC Ranch,-105.0617,31.29,105.0617,,,,,,,0,,,,,0
League City TX,-95.1,29.5,-95.1,,,,,,,,,,,,45.66
League City TX,-95.0645,29.55,-95.0645,,,,,,,,,,,,37.98
League City TX,-95.0505,29.54,-95.0505,,,,,,,,,,,,32.94
League City 0.9 WNW,-95.1207,29.49,95.1207,0.04,2.3,10.51,6.19,12.25,1.26,0,0,,,,32.55
League City 1.7 NW,-95.1242,29.51,95.1242,,5,,,,,,,,,,5
League City 1.8 WNW,-95.1346,29.5,95.1346,0.06,3.64,,,,,,,,,,3.7
League City 2.1 NNE,-95.0898,29.51,95.0898,,,0,0,0,0,0,0,,,,0
League City 2.7 NE,-95.0698,29.54,95.0698,0.23,2.62,17.93,6.92,13.96,1.66,0.01,0,,,,43.33
League City 3 S,-95.11,29.43,-95.11,Aug 25-31 12z,,,,,,,,,,,52.87
League City 3 W,-95.16,29.48,-95.16,Aug 25-31 12z,,,,,,,,,,,45.34
League City 3.5 W,-95.1648,29.48,95.1648,0.63,4.57,,,,,,,,,,5.2
League City 3.6 ENE,-95.0382,29.52,95.0382,0.15,2.07,14.91,5.9,12.1,1.9,0,0,,,,37.03
League City 4 S,-95.11,29.42,-95.11,Aug 25-31 12z,,,,,,,,,,,51.62
Leakey 14.0 NW,-99.9081,29.88,99.9081,0.07,0.12,0.05,0.01,0,0,0,0,,,,0.25
Leakey 9.9 N,-99.7733,29.87,99.7733,0.29,0,0.03,0.1,0,0,0,0,,,,0.42
Leander,-97.85,30.58,-97.85,Aug 25-28 12z,,,,,,,,,,,4.5
Leander,-97.85,30.58,-97.85,Aug 25-28 12z,,,,,,,,,,,3.48
Leander,-97.85,30.58,-97.85,Aug 25-28 12z,,,,,,,,,,,2.33
LEANDER                  5 SW ,-97.93,30.54,-97.93,0.3,0.31,2.86,1.16,0,0,,,,,,4.63
Leander 1 NNW,-97.85,30.6,-97.85,Aug 25-28 12z,,,,,,,,,,,4.26
Leander 1.4 SSW,-97.8734,30.55,97.8734,,0.75,2.65,0.87,,,,,,,,4.27
Leander 1.9 WSW,-97.8919,30.56,97.8919,0.5,,,0.75,0.4,0,0,0,,,,1.65
Leander 3.3 SW,-97.9004,30.53,97.9004,,0.53,3.1,0.88,0.02,,,,,,,4.53
Leander 3.4 NNE,-97.8446,30.61,97.8446,0.34,0.6,2.82,0.89,0,0,0,0,,,,4.65
Leander 5 ENE,-97.91,30.6,-97.91,Aug 25-28 12z,,,,,,,,,,,5.2
Leesville 4.2 NE,-97.7263,29.47,97.7263,0,2.46,6.75,2.64,0.07,0.01,0,0,,,,11.93
Leon Creek @ I-35,-98.58,29.33,-98.58,Aug 25-28 12z,,,,,,,,,,,1.08
Leon Springs 2.6 N,-98.6369,29.7,98.6369,0,0.17,1.39,0.46,0,0,0,0,,,,2.02
Leon Valley,-98.61,29.49,-98.61,Aug 25-28 12z,,,,,,,,,,,1.65
Leon Valley 1.6 N,-98.6178,29.52,98.6178,1.04,,,0.24,0,0,0,0,,,,1.28
Leon Valley 1.9 WNW,-98.6428,29.5,98.6428,0.2,0.3,0.77,0.28,0,0,0,0,,,,1.55
Leon Valley 2 SW,-98.63,29.47,-98.63,Aug 25-28 12z,,,,,,,,,,,1.03
Leon Valley 2.7 WSW,-98.6561,29.49,98.6561,0.38,0.33,0.69,0.25,0,0,0,0,,,,1.65
Leon Valley 2.8 W,-98.6593,29.49,98.6593,0.09,0.24,0.45,0.1,0,0,0,0,,,,0.88
LEWISVILLE                    ,-97.01,33.07,-97.01,,,,0.05,0,,,,,,,0.05
Lexington 2.3 SSW,-97.0256,30.38,97.0256,0,1.66,7.56,2.92,0.05,0,0,0,,,,12.19
Lexington 2.4 E,-96.9692,30.42,96.9692,,1.68,5.85,2.94,0.04,0,0,,,,,10.51
Lexington 2.7 SSE,-96.9876,30.38,96.9876,0,1.41,8.02,3.24,0.09,0,0,0,,,,12.76
Lexington 4.8 W,-97.0891,30.4,97.0891,,1.02,6.61,2.91,0.15,,,,,,,10.69
Lexington 8.8 SW,-97.1079,30.32,97.1079,,1.72,10.29,2.85,0.05,,,,,,,14.91
LIBERTY/Trinity River              ,-94.79,30.06,-94.79,,,,17.9,23.85,,,,,,,41.75
LIBERTY                  2 WSW,-94.82,30.06,-94.82,,,,,,,,,,,,49.39
Liberty 1 NW,-94.82,30.05,-94.82,Aug 25-31 12z,,,,,,,,,,,43.24
Liberty Hill 0.6 NNW,-97.9283,30.67,97.9283,0.09,0.19,2.14,1,0,0,0,0,,,,3.42
Liberty Hill 1.2 N,-97.923,30.68,97.923,0.04,0.39,1.37,0.67,0.02,0,0,0,,,,2.49
Liberty Hill 4.2 NE,-97.8698,30.71,97.8698,0.08,0.5,1.9,0.85,0.01,0,,0,,,,3.34
Liberty Hill 4.3 ENE,-97.8564,30.69,97.8564,0.19,0.55,2.35,1.02,0.01,0,0,0,,,,4.12
Liberty Hill 5.2 SW,-97.9871,30.62,97.9871,,0.66,1.79,0.85,,,,,,,,3.3
Lincoln Park 0.8 ENE,-96.9597,33.23,96.9597,0.03,0,0.07,0.01,0,0,,0,,,,0.11
Lindale 2.1 E,-95.3695,32.5,95.3695,,,,,,,0,0,,,,0
LINDEN                        ,-94.36,33.01,-94.36,,,0,0,0,0,0.18,0,,,,0.18
Linn 8.4 WNW,-98.2488,26.61,98.2488,0,0,0,0,0,0,0,0,,,,0
LIPAN                         ,-98.05,32.52,-98.05,,,,0.1,,,,,,,,0.1
Little Cedar Bayou @ 8th Street,-95.0273,29.65,-95.0273,1.36,6.44,19.36,10.76,4.72,0.04,0,,,,,42.68
Little Cypress Creek @ Becker Road,-95.7992,30.03,-95.7992,0.44,12.2,13.24,3.12,0.84,0,0,,,,,29.84
Little Cypress Creek @ Cypress Rosehill Road,-95.6973,30.02,-95.6973,0.4,10.76,13,3.72,1.36,0,0,,,,,29.24
Little Cypress Creek @ Kluge Road,-95.6302,29.98,-95.6302,0.36,6.64,15.36,4.56,1.76,0,0,,,,,28.68
Little Elm 2.2 ENE,-96.8958,33.18,96.8958,0.05,0.01,0.1,,,,,,,,,0.16
Little Elm 2.5 NE,-96.8962,33.19,96.8962,0.03,0.02,0.05,0,0,0,0,0,,,,0.1
Little Mound Creek @ Mathis Road,-95.908,30.01,-95.908,0.48,8.24,16.76,3.16,0.36,0,0,,,,,29
Little Pine Island Bayou @ State Highway 787,-94.5881,30.35,-94.5881,0.16,3.11,11.57,3.47,8.62,2.95,0,,,,,29.88
Little Vince Bayou @ Jackson Avenue,-95.2001,29.71,-95.2001,0.92,12.12,15.88,8.92,4.92,0,0,,,,,42.76
Little White Oak Bayou @ Tidwell Road,-95.3997,29.85,-95.3997,0.72,8.16,16.96,7.16,2.44,0,0,,,,,35.44
Little White Oak Bayou @ Trimble Street,-95.3683,29.79,-95.36833333,0.8,7.48,15.72,7.36,2.64,0,0,,,,,34
Live Oak 0.5 SW,-98.3455,29.55,98.3455,,0.35,3,,,,,,,,,3.35
Live Oak 0.8 SSW,-98.3452,29.54,98.3452,0,0.33,2.7,0.56,0,0,0,,,,,3.59
Live Oak 1.8 W,-98.3697,29.55,98.3697,0,0.42,2.21,0.4,0.01,0,0,0,,,,3.04
Live Oak 3.4 NW,-98.3752,29.59,98.3752,0,0.32,,,,,,,,,,0.32
Live Oak 4.6 WNW,-98.4052,29.59,98.4052,,,,3.31,,,,,,,,3.31
Live Oak Creek @ Penick Road,-95.9241,29.95,-95.9241,0.6,6.2,16.6,2.84,0.36,0,0,,,,,26.6
Livingston 10.0 W,-95.1025,30.73,95.1025,0,0.05,7.6,9.3,2.18,1.02,,,,,,20.15
Livingston 13.4 NW,-95.0783,30.86,95.0783,0.01,0,6.05,7.3,2.98,1.09,1.05,0,,,,18.48
Livingston 8.4 W,-95.0765,30.7,95.0765,0,0.17,7.96,9.29,2.56,1.39,0.83,0,,,,22.2
LLANO                         ,-98.45,30.64,-98.45,0,0.01,0.53,0.13,0,,,,,,,0.67
LLANO                         ,-98.82,30.76,-98.82,0,0.03,0.05,0.21,0,,,,,,,0.29
LLANO                         ,-98.76,30.77,-98.76,0.01,0.06,0.1,0.18,0,,,,,,,0.35
LLANO                         ,-98.67,30.75,-98.67,0,0,0.14,0.07,0,,,,,,,0.21
LLANO                         ,-98.58,30.81,-98.58,0,0.01,0.11,0.06,0,,,,,,,0.18
LLANO                    5 SSW,-98.69,30.69,-98.69,0,0,0.23,0.26,0,,,,,,,0.49
LLANO                    6 SSE,-98.64,30.67,-98.64,0,0.1,0.37,0.47,0,,,,,,,0.94
LLANO                    7 NNE,-98.66,30.86,-98.66,0,0.02,0.12,0.12,0,,,,,,,0.26
LLANO                    9 NW ,-98.78,30.86,-98.78,0,0,0.12,0.17,0,,,,,,,0.29
LLANO                   11 SE ,-98.62,30.6,-98.62,0,0.51,0.81,0.2,0,,,,,,,1.52
LLANO                   13 SSW,-98.77,30.59,-98.77,0,0.04,0.5,0.47,0.01,,,,,,,1.02
LLANO                   19 SW ,-98.88,30.56,-98.88,0,0.25,0.24,0.21,0,,,,,,,0.7
LLANO                   19 WNW,-98.95,30.9,-98.95,0.04,0.01,0.23,0.4,0.03,,,,,,,0.71
Llano 0.4 ESE,-98.6671,30.75,98.6671,0.02,0,0.21,0.09,0,0,0,0,,,,0.32
Llano 4 S,-98.68,30.69,-98.68,Aug 25-28 12z,,,,,,,,,,,0.48
Llano 5 SSE,-98.66,30.69,-98.66,Aug 25-28 12z,,,,,,,,,,,0.94
Llano 5 W,-98.76,30.76,-98.76,Aug 25-28 12z,,,,,,,,,,,0.34
Llano 6 ENE,-98.6,30.79,-98.6,Aug 25-28 12z,,,,,,,,,,,0.18
Llano 7.2 W,-98.7945,30.77,98.7945,0.01,0.07,0.15,0.23,0,0,0,0,,,,0.46
Llano 8 W,-98.8,30.76,-98.8,Aug 25-28 12z,,,,,,,,,,,0.23
Llano 8.4 SSW,-98.7449,30.65,98.7449,,0.3,,0.5,,,,,,,,0.8
Llano 9 WSW,-98.8,30.68,-98.8,Aug 25-28 12z,,,,,,,,,,,0.24
Llano 9.2 NNW,-98.746,30.87,98.746,,0.03,0.1,0.2,,,,,,,,0.33
Llano 9.9 SE,-98.5726,30.64,98.5726,,,,0.18,0,0,0,0,,,,0.18
LOCKHART                 6 NE ,-97.59,29.94,-97.59,0.57,2.19,11.03,2.57,0.12,0,,,,,,16.48
Lockhart 0.7 SSE,-97.671,29.87,97.671,,,,,0.3,,,,,,,0.3
Lockhart 4.3 ENE,-97.6148,29.9,97.6148,0.04,1.96,9.35,2.48,0.12,0,0,0,,,,13.95
Lockhart 4.3 NW,-97.7231,29.92,97.7231,,2.02,8,2.3,0.02,,,,,,,12.34
Lockhart 4.8 S,-97.6746,29.8,97.6746,0.13,1.81,9.05,2.35,,,,,,,,13.34
Lockhart 4.8 SSE,-97.6387,29.81,97.6387,0.49,,,,,,,,,,,0.49
Lockhart 5.2 S,-97.6757,29.8,97.6757,0.23,1.75,8.81,2.45,0.02,,,,,,,13.26
Lockhart 5.2 SSE,-97.66,29.8,97.66,0.15,1.86,8.96,2.33,,,,,,,,13.3
Lockhart 6 NE,-97.61,29.94,-97.61,Aug 25-28 12z,,,,,,,,,,,15.8
Lockhart 6.4 SSE,-97.647,29.79,97.647,0.5,1.5,7.5,2.5,,,,,,,,12
Lockhart 8.4 ESE,-97.5476,29.83,97.5476,0.2,1.96,9.76,2.99,0.02,0,0,0,,,,14.93
Loma Alta 8 WSW,-95.19,29.31,-95.19,Aug 25-28 12z,,,,,,,,,,,0.02
LOMETA                   2 WNW,-98.42,31.23,-98.42,0,0,0.14,0.55,0,,,,,,,0.69
LOMETA                   6 SW ,-98.47,31.16,-98.47,0,0,0.14,0.39,0,,,,,,,0.53
Lone Star 1.4 N,-94.7122,32.96,94.7122,0,0,0,0,0,0,0.03,0,,,,0.03
LONGVIEW                      ,-94.71,32.38,-94.71,,,0.09,0.01,0,0.07,0.56,,,,,0.73
LONGVIEW                      ,-94.72,32.52,-94.72,,,0.02,0.21,0,0.03,0.34,,,,,0.6
LONGVIEW                      ,-94.73,32.46,-94.73,,,0.3,0.24,,0.07,,,,,,0.61
LONGVIEW                19 NW ,-94.94,32.7,-94.94,,,0.01,0.02,0,0,0.03,,,,,0.06
Longview 0.9 E,-94.7465,32.52,94.7465,0,0.02,0.05,0.13,0,0.02,0.38,,,,,0.6
Longview 1.2 WNW,-94.7816,32.52,94.7816,,,,,,,0.35,,,,,0.35
Longview 2.7 NW,-94.788,32.55,94.788,0,,,,,,,0,,,,0
Longview 3.4 NE,-94.7274,32.56,94.7274,0,0,0,0,0,0,0,0,,,,0
Lorena 5.2 NW,-97.2726,31.44,97.2726,0.51,0.03,0.87,0.33,0,0,0,0,,,,1.74
Lorena 5.5 NW,-97.2678,31.45,97.2678,1.08,0.02,0.86,0.42,0,,0,,,,,2.38
Lorena 8.0 E,-97.079,31.4,97.079,0.47,0.04,1.04,0.51,0,0,0,0,,,,2.06
Los Fresnos,-97.48,26.07,-97.48,,0.26,,,,,,,,,,0.26
Los Fresnos 0.3 NE,-97.4759,26.08,97.4759,0.32,0.05,0.54,0,0,0,0,0,,,,0.91
Los Fresnos 2.1 NNE,-97.4628,26.1,97.4628,0.39,0.05,0.61,0,0,0,0,0,,,,1.05
Lost Creek 1 SSE,-97.83,30.26,-97.83,Aug 25-28 12z,,,,,,,,,,,5.34
Lost Creek 5.1 SW,-97.9029,30.24,97.9029,,0.22,5.55,3.42,,,,,,,,9.19
Lost Maples State Park 1 SSW/Bandera County,-99.59,29.8,-99.59,Aug 25-28 12z,,,,,,,,,,,0.22
Lott 7.2 WSW,-97.1466,31.17,97.1466,0.19,0.25,1.3,0.44,0,0,0,0,,,,2.18
Lott 7.6 SW,-97.114,31.12,97.114,,,1.62,0.72,,,,,,,,2.34
Lowry Crossing 0.3 SSE,-96.5432,33.16,96.5432,0,,,,,,,,,,,0
Loyal Valley 11 S,-99.01,30.42,-99.01,Aug 25-28 12z,,,,,,,,,,,1.77
Loyal Valley 6 NE,-98.95,30.64,-98.95,Aug 25-28 12z,,,,,,,,,,,0.52
Loyal Valley 9 WSW,-99.12,30.52,-99.12,Aug 25-28 12z,,,,,,,,,,,1.07
LUBBOCK                       ,-101.81,33.65,-101.81,,,0,0,,,,,,,,0
LUBBOCK                  3 W  ,-101.9,33.59,-101.9,,,0,0,,,,,,,,0
LUBBOCK                  9 N  ,-101.82,33.69,-101.82,,,,0.32,,,,,,,,0.32
Lubbock 0.7 SE,-101.8677,33.57,101.8677,0,0.03,0,0.21,0,0,0,0,,,,0.24
Lubbock 0.7 WSW,-101.8855,33.57,101.8855,0,0.07,0,0,0.05,0,0,0,,,,0.12
